activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,loan_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,co_applicant_race_1,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,denial_reason_1,denial_reason_2,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,debt_to_income_ratio_parsed,applicant_age_num,rate_spread_missing_flag,approved_flag
2024,WWB2V0FCW3A0EE3ZJN75,15380,NY,36029,36029008600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,2,2,1,2,35000,17.26,11.84,3.73,2,360,1.0,2,1,2,2,225000.0,1,1,3,5,1,195.0,39,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,55-64,55-64,No,Yes,1,1,6,10,3.0,4713,13.73,96900,138.0,1383,1838,0,39.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,33874,PA,42017,42017105013,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,355000,51.7,8.84,0.7,2,360,1.0,2,1,2,2,675000.0,1,1,3,5,1,375.0,<20%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,5820,12.46,143700,132.0,1869,1944,42,41.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110497300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,2,2,2,1,2,65000,47.14,10.59,2.45,2,360,1.0,2,1,2,2,565000.0,1,1,3,5,1,104.0,50%-60%,12,12,2.0,2.0,2,2,3.0,3.0,2,2,2,1,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,5478,31.07,123800,165.0,1465,1644,63,55.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,99999,PA,42107,42107000601,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,1,2,1,2,55000,85.48,12.84,4.7,2,360,1.0,2,1,2,2,65000.0,1,1,3,5,2,34.0,41,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,10,3.0,3216,40.05,81400,54.0,941,2013,0,41.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,35004,NY,36059,36059517500,NC,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,2,2,1,2,1005000,44.3,9.09,0.87,3,360,1.0,2,2,2,2,3505000.0,1,1,3,5,1,809.0,50%-60%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,1,9.0,3998,19.31,156200,102.0,1399,1522,65,55.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,99999,VT,50027,50027965800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,2,2,1,2,215000,34.73,9.34,1.24,2,360,1.0,2,1,2,2,2365000.0,1,1,3,5,1,234.0,50%-60%,12,12,3.0,3.0,2,2,6.0,6.0,2,2,3,3,2,2,>74,65-74,Yes,Yes,1,1,6,10,3.0,3005,6.99,95000,150.0,1031,1908,49,55.0,80.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9120,9120090700,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,1,2,2,1,2,155000,120.33,9.09,0.87,3,360,1.0,2,2,2,2,445000.0,1,1,3,5,1,108.0,>60%,12,10,1.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,1,3.0,5583,21.82,146500,132.0,1490,1682,47,41.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9120,9120081300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,215000,33.59,8.84,0.69,2,360,1.0,2,1,2,2,645000.0,1,1,3,5,1,109.0,50%-60%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,5019,22.73,146500,93.0,1795,2047,43,55.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9120,9120090500,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,0,2,1,2,2,2,1,2,55000,59.29,10.89,2.78,2,360,1.0,2,1,2,2,695000.0,1,1,3,5,1,142.0,50%-60%,12,10,1.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,10,3.0,4814,25.95,146500,113.0,1377,1500,63,55.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9130,9130541402,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,1,2,1,2,305000,77.92,9.34,1.19,2,360,1.0,2,1,2,2,385000.0,1,1,3,5,1,1776.0,<20%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5639,32.65,123800,94.0,1333,1732,43,41.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,35614,NJ,34003,34003051200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,55000,51.91,9.09,0.87,3,360,1.0,2,2,2,2,955000.0,1,1,3,5,1,99.0,__MISSING__,12,12,2.0,2.0,1,1,5.0,5.0,1,1,2,1,1,1,55-64,55-64,No,Yes,1,1,6,3,3.0,2665,31.78,101900,159.0,802,983,0,41.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9190,9190021802,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,105000,60.37,9.09,0.99,2,360,1.0,2,1,2,2,735000.0,1,1,3,5,1,121.0,41,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5156,68.15,146500,69.0,896,1413,59,41.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,45060,NY,36067,36067015203,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,205000,25.1,9.09,0.87,3,360,1.0,2,2,2,2,1205000.0,1,1,3,5,1,140.0,45,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,3,3.0,2763,18.17,94800,179.0,821,930,40,45.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,99999,NY,36013,36013037200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,95000,85.98,12.49,4.38,2,360,1.0,2,1,2,2,315000.0,1,1,3,5,1,170.0,49,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,10,3.0,3728,9.92,83800,98.0,1089,1533,65,49.0,40.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24510,24510130700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,4,1,2,1,2,55000,15.71,10.49,2.17,2,360,1.0,2,1,2,2,355000.0,1,1,3,5,1,75.0,<20%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5252,25.7,122200,102.0,1203,1629,0,41.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,13780,NY,36107,36107020703,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,55000,83.42,11.59,3.49,2,360,1.0,2,1,2,2,225000.0,1,1,3,5,1,147.0,20%-<30%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,10,3.0,4317,8.9,88700,74.0,982,1652,79,25.0,40.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,49020,VA,51069,51069050700,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,1,2,55000,70.05,11.64,3.41,2,360,1.0,2,1,2,2,365000.0,1,1,3,5,1,76.0,50%-60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,10,3.0,2974,15.03,110000,88.0,742,1040,44,55.0,40.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110535101,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,105000,79.16,9.09,0.87,3,360,1.0,2,2,2,2,445000.0,1,1,3,5,1,88.0,50%-60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,4,1.0,5533,21.69,123800,133.0,1462,2193,34,55.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,40380,NY,36117,36117020500,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,31,2,2,1,2,65000,83.76,9.09,0.87,3,360,1.0,2,2,2,2,165000.0,1,1,3,5,1,99.0,50%-60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,1,3.0,4566,10.21,98700,87.0,1479,1806,51,55.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,99999,NY,36101,36101960100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,2,2,1,1,205000,81.71,9.09,0.87,3,360,1.0,2,2,2,2,555000.0,1,3,3,5,1,222.0,50%-60%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,1,4.0,1258,5.64,83800,86.0,489,1220,45,55.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110473501,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,2,2,1,2,85000,61.94,10.89,2.74,2,360,1.0,2,1,2,2,485000.0,1,1,3,5,1,213.0,50%-60%,12,12,3.0,3.0,2,2,6.0,6.0,2,2,3,3,2,2,45-54,55-64,No,No,1,1,6,10,3.0,4638,45.58,123800,118.0,1636,1752,36,55.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9120,9120080800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,2,2,2,1,2,85000,84.38,9.09,0.87,3,360,1.0,2,2,2,2,425000.0,1,1,3,5,1,99.0,__MISSING__,12,10,2.0,5.0,2,4,3.0,8.0,2,4,1,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,3,3.0,4929,32.03,146500,93.0,1568,1738,76,41.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,99999,MD,24011,24011955201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,2,1,2,1,2,55000,14.49,10.24,2.13,2,360,1.0,2,2,2,2,345000.0,1,1,3,5,1,59.0,30%-<36%,12,12,2.0,2.0,2,2,3.0,3.0,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,3793,25.07,87900,94.0,1075,1531,35,33.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24025,24025303801,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,2,25000,69.82,9.09,0.87,3,360,1.0,2,2,2,2,305000.0,1,1,3,5,1,48.0,50%-60%,12,10,12.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,3,3.0,2737,17.17,122200,95.0,1040,724,38,55.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35614,NY,36087,36087011102,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,105000,34.69,9.74,1.52,2,360,1.0,2,1,2,2,995000.0,1,1,3,5,1,178.0,44,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5945,50.23,101900,136.0,1609,1637,48,44.0,40.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,11694,VA,51179,51179010218,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,0,2,1,1,2,2,1,2,175000,74.24,11.94,3.8,2,360,1.0,2,2,2,2,965000.0,1,1,3,5,1,300.0,40,12,12,3.0,3.0,2,2,6.0,6.0,2,2,1,1,2,2,45-54,45-54,No,No,1,1,6,10,3.0,4638,50.0,164200,87.0,726,908,7,40.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,15380,NY,36029,36029013101,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,2,2,1,2,105000,29.82,9.74,1.63,2,360,1.0,2,2,2,2,445000.0,1,1,3,5,1,128.0,30%-<36%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,6,2,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,6415,7.76,96900,104.0,2236,2866,58,33.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,99999,CT,9160,9160310700,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,105000,69.04,11.34,3.2,2,360,1.0,2,1,2,2,255000.0,1,1,3,5,1,208.0,20%-<30%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,10,3.0,4379,18.13,105400,101.0,1487,2085,46,25.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,46540,NY,36043,36043010300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,55000,71.87,11.09,2.94,2,360,1.0,2,1,2,2,145000.0,1,1,3,5,1,88.0,39,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5631,10.83,87900,111.0,1678,2480,0,39.0,40.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,45060,NY,36075,36075020400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,2,55000,61.0,9.09,0.87,3,360,1.0,2,2,2,2,145000.0,1,1,3,5,1,29.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,1,3.0,5259,7.3,94800,93.0,1544,2373,41,41.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35300,CT,9170,9170180602,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,2,2,1,2,85000,21.92,9.09,0.87,3,360,1.0,2,2,2,2,545000.0,1,1,3,5,1,48.0,>60%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,65-74,55-64,Yes,No,1,1,6,1,3.0,3534,21.65,116200,107.0,1334,1218,44,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,25180,MD,24043,24043010300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,125000,63.1,10.29,2.18,2,360,1.0,2,1,2,2,595000.0,1,1,3,5,1,157.0,42,12,12,2.0,2.0,2,2,5.0,5.0,2,2,6,2,2,2,45-54,45-54,No,No,1,1,6,10,3.0,7916,25.66,84200,113.0,2480,2825,45,42.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,35614,NY,36047,36047030100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,2,2,1,2,105000,77.15,9.09,0.87,3,360,1.0,2,2,2,2,1105000.0,1,1,3,5,2,112.0,>60%,12,10,2.0,5.0,2,4,3.0,8.0,2,4,2,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,1,3.0,2970,90.34,101900,69.0,361,1012,0,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110494600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,3,0,2,1,31,2,2,1,2,235000,83.65,9.09,0.87,3,360,1.0,2,2,2,2,405000.0,1,1,3,5,1,108.0,>60%,12,12,2.0,2.0,2,2,21.0,21.0,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,1,9.0,3617,32.32,123800,91.0,1340,1370,46,41.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,15764,MA,25017,25017365100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,4,2,2,1,2,305000,44.9,9.09,0.87,3,360,1.0,2,2,2,2,2215000.0,1,1,3,5,1,249.0,50%-60%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,1,3.0,7918,17.73,146600,171.0,2528,2645,46,55.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110497200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,1,2,1,2,205000,36.9,8.44,0.3,2,360,1.0,2,1,2,2,545000.0,1,1,3,5,1,69.0,50%-60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,>74,__MISSING__,Yes,__MISSING__,1,1,6,10,3.0,2478,25.1,123800,169.0,516,514,50,55.0,80.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,25180,WV,54065,54065970900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,55000,58.83,9.09,0.87,3,360,1.0,2,2,2,2,535000.0,1,1,3,5,1,92.0,39,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,25-34,__MISSING__,No,__MISSING__,1,1,6,3,2.0,2385,6.67,84200,51.0,996,2073,49,39.0,30.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,21300,NY,36015,36015010701,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Free Form Text Only,White,Male,3,0,2,1,2,2,2,1,2,35000,76.25,9.09,0.87,3,360,1.0,2,2,2,2,205000.0,1,1,3,5,1,34.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,3063,21.45,76300,141.0,715,1068,43,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35614,NY,36081,36081133900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,2,115000,33.15,9.09,0.87,3,360,1.0,2,2,2,2,1255000.0,1,1,3,5,1,98.0,>60%,12,12,2.0,3.0,1,2,5.0,6.0,1,2,2,3,1,2,45-54,55-64,No,No,1,1,6,1,9.0,1360,50.59,101900,169.0,387,442,79,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24003,24003730300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,65000,73.51,9.09,0.87,3,360,1.0,2,2,2,2,345000.0,1,1,3,5,1,99.0,__MISSING__,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,<25,__MISSING__,No,__MISSING__,1,1,6,3,3.0,3309,35.84,122200,95.0,1016,1229,66,41.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,15764,MA,25017,25017312200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,31,1,2,1,2,305000,62.5,9.09,0.87,3,360,1.0,2,2,2,2,485000.0,1,1,3,5,1,99.0,__MISSING__,12,10,1.0,5.0,2,4,5.0,8.0,1,4,1,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,3,3.0,4920,62.38,146600,59.0,1222,1537,68,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,40380,NY,36055,36055013402,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,4,1,2,1,2,55000,30.79,11.74,3.59,2,360,1.0,2,2,2,2,165000.0,1,1,3,5,1,27.0,37,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,10,3.0,3415,13.38,98700,115.0,929,1715,56,37.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,49620,PA,42133,42133020921,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,1,2,65000,76.01,10.49,2.35,2,360,1.0,2,1,2,2,325000.0,1,1,3,5,1,57.0,42,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,10,3.0,7355,10.73,105100,100.0,2744,3084,39,42.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,11694,VA,51153,51153901219,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,3,0,2,1,4,2,2,1,2,205000,100.13,9.09,0.87,3,360,1.0,2,2,2,2,2105000.0,1,1,3,5,1,316.0,50%-60%,12,12,2.0,1.0,2,1,5.0,5.0,2,2,1,2,2,1,35-44,45-54,No,No,1,1,6,4,1.0,5662,31.42,164200,128.0,1778,1910,31,55.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24013,24013514202,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,105000,73.0,10.44,2.23,2,360,1.0,2,1,2,2,475000.0,1,1,3,5,1,194.0,36,12,12,2.0,2.0,2,2,5.0,5.0,2,2,2,1,2,2,55-64,45-54,No,No,1,1,6,10,3.0,3514,14.46,122200,132.0,992,1100,43,36.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,99999,DE,10005,10005050407,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,25000,63.98,9.09,0.87,3,360,1.0,2,2,2,2,335000.0,1,1,3,5,1,85.0,20%-<30%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,2,1,2,2,55-64,35-44,Yes,No,1,1,6,3,3.0,5238,47.35,106000,91.0,1590,1998,27,25.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24025,24025301201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,25000,7.25,9.09,0.87,3,360,1.0,2,2,2,2,345000.0,1,1,3,5,1,43.0,42,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,3,3.0,2033,10.48,122200,87.0,628,767,53,42.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35004,NY,36103,36103124200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,1,2,1,2,105000,21.51,10.29,2.15,2,360,1.0,2,1,2,2,465000.0,1,1,3,5,1,46.0,43,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,10,3.0,6084,21.43,156200,83.0,1469,1990,61,43.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,15764,MA,25009,25009250800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,31,2,2,1,2,205000,80.73,9.09,0.87,3,360,1.0,2,2,2,2,575000.0,1,1,3,5,1,102.0,>60%,12,10,1.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,1,9.0,9069,82.68,146600,46.0,893,2005,74,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,11694,VA,51177,51177020206,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,0,2,1,4,2,2,1,2,165000,84.74,11.19,3.05,2,360,1.0,2,1,2,2,465000.0,1,1,3,5,1,362.0,<20%,12,12,3.0,3.0,2,2,6.0,6.0,2,2,1,2,2,2,55-64,55-64,No,No,1,1,6,10,3.0,4570,37.88,164200,75.0,887,1013,13,41.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,33874,PA,42017,42017101401,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,55000,80.07,9.09,0.87,3,360,1.0,2,2,2,2,605000.0,1,1,3,5,1,90.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,1,3.0,5278,19.19,143700,101.0,1613,1732,62,41.0,40.0,1,0
